publish_date,headline_category,headline_text
2001-02-11 00:00:00,SBI,Federal officials check documents at US SBI branch
2001-02-16 00:00:00,NTPC,NTPC not to disrupt power supply to Bihar
2001-02-26 00:00:00,NTPC,NTPC may curtail supply to BSEB
2001-05-18 00:00:00,HCL,Clause to protect HCL jobs after sell-off
2001-05-18 00:00:00,HCL,Clause to protect HCL jobs after sell-off
2001-06-20 00:00:00,SBI,SBI integrating ATM network
2001-06-20 00:00:00,HCL,HHCL shareholders oppose merger
2001-06-20 00:00:00,SBI,SBI becomes tech savvy with ATMs
2001-06-25 00:00:00,HDFC,HDFC to buy 8% stake in Positra SEZ for Rs 150 cr
2001-06-28 00:00:00,HCL,CM urged to stall HCL privatisation
2001-07-11 00:00:00,SBI,SBI-life insurance scheme to be introduced in Punjab
2001-07-12 00:00:00,ONGC,ONGC nod for increasing production in major fields
2001-07-16 00:00:00,NTPC,NTPC not to buy Enron equity: Centre
2001-07-18 00:00:00,HCL,HCL staff stage dharna to protest privatisation
2001-07-21 00:00:00,ITC,ITC net up 21% at Rs 301 crore in Q1
2001-07-24 00:00:00,SBI,SBI opens MICR cheque processing centre
2001-07-24 00:00:00,SBI,SBI opens MICR cheque processing centre
2001-07-25 00:00:00,SBI,SBI; ICICI Bank to outsmart others in 3 years
2001-07-25 00:00:00,SBI,SBI Q1 net rises 26% to Rs 580 cr
2001-07-25 00:00:00,NTPC,States to pay Rs 18;000cr to NTPC
2001-07-26 00:00:00,ICICI,ICICI Lombard may get IRDA nod tomorrow
2001-07-27 00:00:00,ICICI,ICICI net up 13%
2001-07-28 00:00:00,ONGC,ONGC board clears recast plan
2001-08-01 00:00:00,SBI,SBI's fraud cases amount to Rs 269.15 cr
2001-08-02 00:00:00,ICICI,ICICI Lombard get nod from IRDA
2001-08-03 00:00:00,HCL,HCL plans 'cheap' Net access device
2001-08-03 00:00:00,ONGC,BHEL bags Rs 10 cr order from ONGC
2001-08-04 00:00:00,ITC,ITC open to M&A in related areas
2001-08-05 00:00:00,HDFC,HDFC Standard Life to break even after 5 years
2001-08-05 00:00:00,ITC,ITC chairman against BAT increasing stake in VST
2001-08-05 00:00:00,SBI,SBI forex profit on the downswing
2001-08-05 00:00:00,HCL,FACE OFFbrThe silver lining in HCL
2001-08-06 00:00:00,SBI,FIEO weclomes SBI's move to cut PLR
2001-08-07 00:00:00,HCL,HCL Tech's Q-on-Q profits rise by only 4%
2001-08-09 00:00:00,SBI,SBI project brings hope for kids with cleft palate
2001-08-10 00:00:00,ONGC,ONGC goes for corporate makeover
2001-08-12 00:00:00,NTPC,Centre not to ask NTPC to buy Enron stake in Dabhol
2001-08-13 00:00:00,ONGC,ONGC bids $400 m; RIL $350 m for Enron's Panna-Mukta stake
2001-08-13 00:00:00,ONGC,ONGC bids $400m for Enron's in Panna-Mukta
2001-08-14 00:00:00,ICICI,ICICI to maintain growth despite slowdown
2001-08-15 00:00:00,ONGC,ONGC flayed for faulty process
2001-08-16 00:00:00,NTPC,BHEL bags Rs 2;079 cr order from NTPC
2001-08-18 00:00:00,SBI,SBI to bring down loan defaults
2001-08-20 00:00:00,HCL,HCL Info net dips sharply
2001-08-22 00:00:00,NTPC,Shram awards for nine NTPC employees
2001-08-23 00:00:00,INFOSYS,AWARENESS ABROAD; THE INFOSYS WAY
2001-08-24 00:00:00,INFOSYS,AWARENESS ABROAD; THE INFOSYS WAY
2001-08-24 00:00:00,SBI,SBI Home Finance to raise funds
2001-08-26 00:00:00,SBI,Centre rejects SBI's IT subsidiary proposal
2001-08-26 00:00:00,SUN,SUNDAY SPECIALbrA marathon man from a different walk of life
2001-08-27 00:00:00,ICICI,ICICI to merge financial companies
